Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
473 /api/user/id,50,3542,2602,8275,8878,11304,748,11304,0.000%,.68187,0.55,0.26
474 /api/user/updateUserGender,50,3991,3005,10475,11298,14832,306,14832,0.000%,.71455,0.58,0.29
475 /api/userData,50,3033,2738,7214,7991,10428,304,10428,0.000%,.90178,0.73,0.36
476 /api/userData,50,2466,1346,5663,6103,8856,309,8856,0.000%,.91875,0.74,0.37
477 /api/user/updateUserDob,100,1944,1405,3164,4339,10543,304,10543,0.000%,1.92160,1.55,0.78
478 /api/changePasscode,100,2445,2189,3894,5606,5796,626,5796,0.000%,2.35040,0.69,0.99
479 /api/user/id,100,3164,2123,6737,7304,7839,296,14853,0.000%,2.56141,4.20,2.38
480 /api/theme/getWellnessAssessment,50,1550,1469,2392,2928,3412,704,3412,0.000%,1.63100,0.98,0.65
481 /api/user/id,50,1239,1109,2058,2333,3288,306,3288,0.000%,1.75525,1.42,0.66
482 /api/userCount,50,743,596,1339,1672,2264,301,2264,0.000%,1.95948,0.50,0.64
483 /api/userCount,100,787,764,1558,1674,1889,307,1889,0.000%,4.08297,1.04,1.34
484 /api/findUser,100,766,732,1368,1810,2178,296,2178,0.000%,4.28247,1.25,1.65
TOTAL,14000,13553,6667,19152,23281,67451,0,1200986,0.907%,7.32802,119.87,6.10
